criterion_id,gate,journey,requirement,priority,verification_method,environment,evidence_ref,owner,status,notes
G4-01,G4,PROJECT,"Production topology, configuration, secrets ownership, domains, certificates, and providers are ready",MUST,production readiness review,production-equivalent,,TBD,PENDING,
G4-02,G4,PROJECT,Deployment and migrations are rehearsed,MUST,release rehearsal,staging,,TBD,PENDING,
G4-03,G4,PROJECT,Monitoring and alert ownership are verified,MUST,alert test,production-equivalent,,TBD,PENDING,
G4-04,G4,PROJECT,Rollback or recovery is exercised,MUST,recovery rehearsal,production-equivalent,,TBD,PENDING,
G4-05,G4,PROJECT,"Legal, privacy, security, licensing, payment, retention, and customer obligations are satisfied",MUST,external approval review,production-equivalent,,TBD,PENDING,
G4-06,G4,PROJECT,"Release window, rollout, controls, communication, support, and abort rules are approved",MUST,release plan review,production-equivalent,,TBD,PENDING,
G5-01,G5,J-01,Authorized user completes real critical journey,MUST,witnessed UAT,production-equivalent,,TBD,PENDING,
G5-02,G5,J-01,"Production-equivalent identities, permissions, data, providers, AI services, payments, and devices are used",MUST,environment and dependency review,production-equivalent,,TBD,PENDING,
G5-03,G5,J-01,Business outputs reconcile with authoritative systems or records,MUST,reconciliation,production-equivalent,,TBD,PENDING,
G5-04,G5,PROJECT,Known limitations and residual risks are explicitly accepted,MUST,risk acceptance review,acceptance,,TBD,PENDING,
G5-05,G5,PROJECT,Named authority signs the declared boundary,MUST,sign-off review,acceptance,,TBD,PENDING,
G6-01,G6,PROJECT,Release manifest is complete,MUST,manifest review,handover,,TBD,PENDING,
G6-02,G6,PROJECT,"Operational ownership, access, support, escalation, SLA or SLO, and warranty are transferred",MUST,ownership review,handover,,TBD,PENDING,
G6-03,G6,PROJECT,Receiving operator can use critical runbooks,MUST,operator rehearsal,handover,,TBD,PENDING,
G6-04,G6,PROJECT,"Training, user and admin documentation, account transfer, and asset inventory are complete",MUST,handover review,handover,,TBD,PENDING,
G6-05,G6,PROJECT,"Residual backlog, debt, licenses, recurring costs, renewals, and end-of-life obligations are owned",MUST,closure register review,handover,,TBD,PENDING,
G6-06,G6,PROJECT,Post-release observation and closure decision are recorded,MUST,stability and closure review,handover,,TBD,PENDING,
